,DELTA.DELTA.SEG_APOLICECONTRATO,DELTA.DELTA.SEG_APOLICEITEMAUXILIAR,DELTA.DELTA.SEG_ATENDIMENTO,DELTA.DELTA.SEG_CONTRATO,DELTA.DELTA.SEG_DADOSOCORRENCIA,DELTA.DELTA.SEG_ORDEMSERVICO,DELTA.DELTA.SEG_SCRIPT,DELTA.DELTA.SEG_SEGURADORA,DELTA.DELTA.SEG_SEGURADORAGRUPO,DELTA.DELTA.SEG_TIPOSCRIPT,APPINT.FATSEG.APOLICEHISTORICO
DELTA.DELTA.SEG_APOLICECONTRATO,1.0,0.0409317803660566,0.06483921982076968,0.2701298701298701,0.0818908122503329,0.11090047393364932,0.26074498567335247,0.08808664259927801,0.3125,0.2661290322580645,0.09814323607427056
DELTA.DELTA.SEG_APOLICEITEMAUXILIAR,0.0409317803660566,1.0,0.32978369384359396,0.11880199667221303,0.3291181364392679,0.2509151414309484,0.10782029950083194,0.27154742096505824,0.0658901830282862,0.0409317803660566,0.22995008319467558
DELTA.DELTA.SEG_ATENDIMENTO,0.06483921982076968,0.32978369384359396,1.0,0.18133895624670537,0.41433842909857665,0.3299947285187138,0.1613073273589879,0.31681602530311015,0.10490247759620452,0.06536636794939377,0.2878228782287823
DELTA.DELTA.SEG_CONTRATO,0.2701298701298701,0.11880199667221303,0.18133895624670537,1.0,0.2123834886817576,0.2654028436018957,0.34545454545454546,0.22743682310469315,0.3038961038961039,0.24155844155844153,0.21927497789566752
DELTA.DELTA.SEG_DADOSOCORRENCIA,0.0818908122503329,0.3291181364392679,0.41433842909857665,0.2123834886817576,1.0,0.34886817576564577,0.18774966711051932,0.26031957390146476,0.12450066577896135,0.07989347536617841,0.27962716378162455
DELTA.DELTA.SEG_ORDEMSERVICO,0.11090047393364932,0.2509151414309484,0.3299947285187138,0.2654028436018957,0.34886817576564577,1.0,0.2398104265402844,0.31985559566787003,0.16018957345971563,0.11090047393364932,0.24403183023872677
DELTA.DELTA.SEG_SCRIPT,0.26074498567335247,0.10782029950083194,0.1613073273589879,0.34545454545454546,0.18774966711051932,0.2398104265402844,1.0,0.19927797833935013,0.3065902578796562,0.27793696275071633,0.2015915119363395
DELTA.DELTA.SEG_SEGURADORA,0.08808664259927801,0.27154742096505824,0.31681602530311015,0.22743682310469315,0.26031957390146476,0.31985559566787003,0.19927797833935013,1.0,0.14151624548736463,0.08592057761732852,0.2512635379061372
DELTA.DELTA.SEG_SEGURADORAGRUPO,0.3125,0.0658901830282862,0.10490247759620452,0.3038961038961039,0.12450066577896135,0.16018957345971563,0.3065902578796562,0.14151624548736463,1.0,0.29807692307692313,0.12997347480106103
DELTA.DELTA.SEG_TIPOSCRIPT,0.2661290322580645,0.0409317803660566,0.06536636794939377,0.24155844155844153,0.07989347536617841,0.11090047393364932,0.27793696275071633,0.08592057761732852,0.29807692307692313,1.0,0.094606542882405
APPINT.FATSEG.APOLICEHISTORICO,0.09814323607427056,0.22995008319467558,0.2878228782287823,0.21927497789566752,0.27962716378162455,0.24403183023872677,0.2015915119363395,0.2512635379061372,0.12997347480106103,0.094606542882405,1.0
